details_id,Company,Level,Total_Applicants,Industry,Class,Job_skills 
dt_115,LTIMindtree,Mid-Senior level,100,Airlines and Aviation ,Class2,Microsoft Exchange
dt_116,Inteliwaves,Executive,94,IT Services and IT Consulting ,Class2,unknown
dt_117,Hexaware Technologies,Mid-Senior level,100,IT Services and IT Consulting ,Class3,Test Engineering
dt_118,Virtusa,Associate,100,IT Services and IT Consulting ,Class3,1 of 1 skill matches your profile - you may be a good fit
dt_119,TÜV SÜD,Mid-Senior level,36,IT Services and IT Consulting ,Class2,Business Development
dt_120,Marsh McLennan,Mid-Senior level,100,Banking ,Class2,3 of 5 skills match your profile - you may be a good fit
dt_121,Arm,Associate,100,Insurance ,Class2,Demand Management
dt_122,PW (PhysicsWallah),Associate,100,Financial Services ,Class2,Operations Management
dt_123,Citi,Mid-Senior level,54,IT Services and IT Consulting ,Class2,Fund Administration
dt_124,Technip Energies,Associate,100,IT Services and IT Consulting ,Class2,Engineering
dt_125,Orange Business,Mid-Senior level,71,Software Development ,Class1,Data Analysis
dt_126,Capgemini Engineering,Associate,100,IT Services and IT Consulting ,Class2,Asset Management
dt_127,UNIVO Education,Mid-Senior level,93,"Electric Power Transmission, Control, and Distribution ",Class2,Full-Stack Development
dt_128,Tata Consultancy Services,Associate,100,IT Services and IT Consulting ,Class2,JD Edwards
dt_129,Tata Consultancy Services,Associate,79,IT Services and IT Consulting ,Class2,Oracle Database Administration
dt_130,Infosys,Entry level,35,Telecommunications ,Class2,Database Management System (DBMS)
dt_131,Careernet,Executive,30,Information Technology & Services ,Class5,4 of 6 skills match your profile - you may be a good fit
dt_132,ANZ,Mid-Senior level,22,IT Services and IT Consulting ,Class2,Falcon
dt_133,Regalix,Associate,100,IT Services and IT Consulting ,Class2,unknown
dt_134,Navis,Entry level,81,Oil and Gas ,Class2,Back-End Web Development
dt_135,Lowe's India,Mid-Senior level,71,Software Development ,Class4,REST APIs
dt_136,HT Digital Streams,Associate,100,IT Services and IT Consulting ,Class2,1 of 1 skill matches your profile - you may be a good fit
dt_137,HTC Global Services,Associate,100,"Technology, Information and Internet ",Class5,Loan Syndications
dt_138,Hexaware Technologies,Associate,100,IT Services and IT Consulting ,Class3,SQL
dt_139,Cognizant,Entry level,21,Advertising Services ,Class1,Process Auditing
dt_140,airtel,Mid-Senior level,100,Financial Services ,Class1,Capital Expenditures
dt_141,Saint-Gobain Technical Insulation,Mid-Senior level,100,"Technology, Information and Media ",Class1,Maintenance Planning
dt_142,LTIMindtree,Associate,96,Airlines and Aviation ,Class2,unknown
dt_143,Purplle.com,Associate,100,IT Services and IT Consulting ,Class3,App Marketing
dt_144,H&M,Mid-Senior level,100,Staffing and Recruiting ,Class2,Business Case Preparation
dt_145,Recmatrix Consulting,Entry level,100,Business Consulting and Services ,Class2,360 Recruitment
dt_146,BlackRock,Mid-Senior level,41,IT Services and IT Consulting ,Class2,Object-Oriented Programming (OOP)
dt_147,KPMG India,Mid-Senior level,100,Financial Services ,Class2,Lean Six Sigma
dt_148,Hexaware Technologies,Mid-Senior level,100,IT Services and IT Consulting ,Class3,SQL
dt_149,Tata Consultancy Services,Associate,100,IT Services and IT Consulting ,Class2,SAP Integration
dt_150,T&N Business Services,Associate,100,"Technology, Information and Internet ",Class5,Customer Service
dt_151,Gleren Technologies,Mid-Senior level,100,Financial Services ,Class2,Microsoft Azure
dt_152,Sercomm,Mid-Senior level,100,Advertising Services ,Class4,Supply Chain Management
dt_153,Tata Consultancy Services,Associate,100,IT Services and IT Consulting ,Class2,SQL
dt_154,Marsh McLennan,Associate,100,Banking ,Class2,Oracle Database Administration
dt_155,Schbang,Mid-Senior level,3,Computers and Electronics Manufacturing ,Class5,Digital Copywriting
dt_156,Wipro,Mid-Senior level,72,IT Services and IT Consulting ,Class2,Presentations
dt_157,Capgemini,Mid-Senior level,21,Staffing and Recruiting ,Class1,GE Proficy
dt_158,DXFactor,Mid-Senior level,100,Government Relations Services ,Class1,Data Analysis
dt_159,Cummins India,Mid-Senior level,100,Advertising Services ,Class2,Life Cycle Assessment
dt_160,Infosys,Entry level,25,Telecommunications ,Class2,Requirement Specifications
dt_161,Synchrony,Mid-Senior level,27,Software Development ,Class6,Business Risk
dt_162,Delta Air Lines,Mid-Senior level,54,IT Services and IT Consulting ,Class2,Java
