,Company,Designation,Location
319,"GUDDGE, LLC",SAP BusinessObjects Developer,Greater Hyderabad Area (Remote)
320,Genpact,"Principal Consultant, SAP PS-ITO078148","Kolkata, West Bengal, India (On-site)"
321,Hyland,Software Architect 4,"Kolkata, West Bengal, India (Hybrid)"
322,YALLO Retail,Senior Data Engineer (SAP + Azure),India (Remote)
323,arodek,SAP Basis & Security Consultant,"Kolkata, West Bengal, India (On-site)"
324,ERM,Azure Data Engineer (Mid-Senior Level),Greater Kolkata Area
325,Klizo Solutions Pvt Ltd,Python Developer,"Kolkata, West Bengal, India (On-site)"
326,"GUDDGE, LLC",SAP BusinessObjects Developer,Greater Hyderabad Area (Remote)
327,Genpact,"Principal Consultant, SAP PS-ITO078148","Kolkata, West Bengal, India (On-site)"
328,Hyland,Software Architect 4,"Kolkata, West Bengal, India (Hybrid)"
329,YALLO Retail,Senior Data Engineer (SAP + Azure),India (Remote)
330,arodek,SAP Basis & Security Consultant,"Kolkata, West Bengal, India (On-site)"
331,ERM,Azure Data Engineer (Mid-Senior Level),Greater Kolkata Area
332,Klizo Solutions Pvt Ltd,Python Developer,"Kolkata, West Bengal, India (On-site)"
333,"GUDDGE, LLC",SAP BusinessObjects Developer,Greater Hyderabad Area (Remote)
334,Genpact,"Principal Consultant, SAP PS-ITO078148","Kolkata, West Bengal, India (On-site)"
335,Hyland,Software Architect 4,"Kolkata, West Bengal, India (Hybrid)"
336,YALLO Retail,Senior Data Engineer (SAP + Azure),India (Remote)
337,arodek,SAP Basis & Security Consultant,"Kolkata, West Bengal, India (On-site)"
338,ERM,Azure Data Engineer (Mid-Senior Level),Greater Kolkata Area
339,Klizo Solutions Pvt Ltd,Python Developer,"Kolkata, West Bengal, India (On-site)"
340,"GUDDGE, LLC",SAP BusinessObjects Developer,Greater Hyderabad Area (Remote)
341,Genpact,"Principal Consultant, SAP PS-ITO078148","Kolkata, West Bengal, India (On-site)"
342,Hyland,Software Architect 4,"Kolkata, West Bengal, India (Hybrid)"
343,YALLO Retail,Senior Data Engineer (SAP + Azure),India (Remote)
344,arodek,SAP Basis & Security Consultant,"Kolkata, West Bengal, India (On-site)"
345,ERM,Azure Data Engineer (Mid-Senior Level),Greater Kolkata Area
346,Klizo Solutions Pvt Ltd,Python Developer,"Kolkata, West Bengal, India (On-site)"
347,"GUDDGE, LLC",SAP BusinessObjects Developer,Greater Hyderabad Area (Remote)
348,Genpact,"Principal Consultant, SAP PS-ITO078148","Kolkata, West Bengal, India (On-site)"
349,Hyland,Software Architect 4,"Kolkata, West Bengal, India (Hybrid)"
350,YALLO Retail,Senior Data Engineer (SAP + Azure),India (Remote)
351,arodek,SAP Basis & Security Consultant,"Kolkata, West Bengal, India (On-site)"
352,ERM,Azure Data Engineer (Mid-Senior Level),Greater Kolkata Area
353,Klizo Solutions Pvt Ltd,Python Developer,"Kolkata, West Bengal, India (On-site)"
354,"GUDDGE, LLC",SAP BusinessObjects Developer,Greater Hyderabad Area (Remote)
355,Genpact,"Principal Consultant, SAP PS-ITO078148","Kolkata, West Bengal, India (On-site)"
356,Hyland,Software Architect 4,"Kolkata, West Bengal, India (Hybrid)"
357,YALLO Retail,Senior Data Engineer (SAP + Azure),India (Remote)
358,arodek,SAP Basis & Security Consultant,"Kolkata, West Bengal, India (On-site)"
359,ERM,Azure Data Engineer (Mid-Senior Level),Greater Kolkata Area
360,Klizo Solutions Pvt Ltd,Python Developer,"Kolkata, West Bengal, India (On-site)"
361,"GUDDGE, LLC",SAP BusinessObjects Developer,Greater Hyderabad Area (Remote)
362,Genpact,"Principal Consultant, SAP PS-ITO078148","Kolkata, West Bengal, India (On-site)"
363,Hyland,Software Architect 4,"Kolkata, West Bengal, India (Hybrid)"
364,YALLO Retail,Senior Data Engineer (SAP + Azure),India (Remote)
365,arodek,SAP Basis & Security Consultant,"Kolkata, West Bengal, India (On-site)"
366,ERM,Azure Data Engineer (Mid-Senior Level),Greater Kolkata Area
367,Klizo Solutions Pvt Ltd,Python Developer,"Kolkata, West Bengal, India (On-site)"
368,"GUDDGE, LLC",SAP BusinessObjects Developer,Greater Hyderabad Area (Remote)
369,Genpact,"Principal Consultant, SAP PS-ITO078148","Kolkata, West Bengal, India (On-site)"
370,Hyland,Software Architect 4,"Kolkata, West Bengal, India (Hybrid)"
371,YALLO Retail,Senior Data Engineer (SAP + Azure),India (Remote)
372,arodek,SAP Basis & Security Consultant,"Kolkata, West Bengal, India (On-site)"
373,ERM,Azure Data Engineer (Mid-Senior Level),Greater Kolkata Area
374,Klizo Solutions Pvt Ltd,Python Developer,"Kolkata, West Bengal, India (On-site)"
375,"GUDDGE, LLC",SAP BusinessObjects Developer,Greater Hyderabad Area (Remote)
376,Genpact,"Principal Consultant, SAP PS-ITO078148","Kolkata, West Bengal, India (On-site)"
377,Hyland,Software Architect 4,"Kolkata, West Bengal, India (Hybrid)"
378,YALLO Retail,Senior Data Engineer (SAP + Azure),India (Remote)
379,arodek,SAP Basis & Security Consultant,"Kolkata, West Bengal, India (On-site)"
380,ERM,Azure Data Engineer (Mid-Senior Level),Greater Kolkata Area
381,Klizo Solutions Pvt Ltd,Python Developer,"Kolkata, West Bengal, India (On-site)"
382,"GUDDGE, LLC",SAP BusinessObjects Developer,Greater Hyderabad Area (Remote)
383,Genpact,"Principal Consultant, SAP PS-ITO078148","Kolkata, West Bengal, India (On-site)"
384,Hyland,Software Architect 4,"Kolkata, West Bengal, India (Hybrid)"
385,YALLO Retail,Senior Data Engineer (SAP + Azure),India (Remote)
386,arodek,SAP Basis & Security Consultant,"Kolkata, West Bengal, India (On-site)"
387,ERM,Azure Data Engineer (Mid-Senior Level),Greater Kolkata Area
388,Klizo Solutions Pvt Ltd,Python Developer,"Kolkata, West Bengal, India (On-site)"
389,"GUDDGE, LLC",SAP BusinessObjects Developer,Greater Hyderabad Area (Remote)
390,Genpact,"Principal Consultant, SAP PS-ITO078148","Kolkata, West Bengal, India (On-site)"
391,Hyland,Software Architect 4,"Kolkata, West Bengal, India (Hybrid)"
392,YALLO Retail,Senior Data Engineer (SAP + Azure),India (Remote)
393,arodek,SAP Basis & Security Consultant,"Kolkata, West Bengal, India (On-site)"
394,ERM,Azure Data Engineer (Mid-Senior Level),Greater Kolkata Area
395,Klizo Solutions Pvt Ltd,Python Developer,"Kolkata, West Bengal, India (On-site)"
396,"GUDDGE, LLC",SAP BusinessObjects Developer,Greater Hyderabad Area (Remote)
397,Genpact,"Principal Consultant, SAP PS-ITO078148","Kolkata, West Bengal, India (On-site)"
398,Hyland,Software Architect 4,"Kolkata, West Bengal, India (Hybrid)"
399,YALLO Retail,Senior Data Engineer (SAP + Azure),India (Remote)
400,arodek,SAP Basis & Security Consultant,"Kolkata, West Bengal, India (On-site)"
401,ERM,Azure Data Engineer (Mid-Senior Level),Greater Kolkata Area
402,Klizo Solutions Pvt Ltd,Python Developer,"Kolkata, West Bengal, India (On-site)"
403,"GUDDGE, LLC",SAP BusinessObjects Developer,Greater Hyderabad Area (Remote)
404,Genpact,"Principal Consultant, SAP PS-ITO078148","Kolkata, West Bengal, India (On-site)"
405,Hyland,Software Architect 4,"Kolkata, West Bengal, India (Hybrid)"
406,YALLO Retail,Senior Data Engineer (SAP + Azure),India (Remote)
407,arodek,SAP Basis & Security Consultant,"Kolkata, West Bengal, India (On-site)"
408,ERM,Azure Data Engineer (Mid-Senior Level),Greater Kolkata Area
409,Klizo Solutions Pvt Ltd,Python Developer,"Kolkata, West Bengal, India (On-site)"
410,"GUDDGE, LLC",SAP BusinessObjects Developer,Greater Hyderabad Area (Remote)
411,Genpact,"Principal Consultant, SAP PS-ITO078148","Kolkata, West Bengal, India (On-site)"
412,Hyland,Software Architect 4,"Kolkata, West Bengal, India (Hybrid)"
