,Company,Designation,Location
143,L&T Technology Services,Linux Yocto Patching Openings in Bangalore,"Bangalore Urban, Karnataka, India (On-site)"
144,BDO in India,Director - Assurance (Mumbai),"Mumbai, Maharashtra, India (On-site)"
145,SGS & Co,Team Lead - Prepress,"Coimbatore, Tamil Nadu, India (On-site)"
146,Furlenco,Warehouse Trainer,"Bengaluru, Karnataka, India (On-site)"
147,Client,Rancher,"Noida, Uttar Pradesh, India (On-site)"
148,NetAmbit,L&T Sufin BDE,"Noida, Uttar Pradesh, India (On-site)"
149,Supertails,Manager - S&OP,"Bengaluru, Karnataka, India (On-site)"
150,Birlasoft,Lead Consultant,"Mulshi, Maharashtra, India (Hybrid)"
151,IBM,Database Consultant,"Bengaluru East, Karnataka, India (On-site)"
152,Birlasoft,Sr Lead Consultant,"Mulshi, Maharashtra, India (Hybrid)"
153,CANPACK INDIA PRIVATE LIMITED,Furnace Incharge,"Aurangabad, Maharashtra, India (On-site)"
154,Tata Consultancy Services,Workspace Engineering,"Pune, Maharashtra, India (Hybrid)"
155,Birlasoft,JDE CNC Consultant,"Mumbai, Maharashtra, India (Hybrid)"
156,Birlasoft,Lead Consultant,"Mulshi, Maharashtra, India (On-site)"
157,Weldwell Speciality Private Limited,Sales Application Engineer,"Chennai, Tamil Nadu, India (On-site)"
158,PayNways,Project Manager,"Noida, Uttar Pradesh, India (On-site)"
159,Concentrix,"Associate, Real Time Management","Noida, Uttar Pradesh, India (On-site)"
160,Singh Law Chambers LLP,Associates / Jr Assocaites,"Delhi, India (On-site)"
161,BlueStone,Jewelry Designer,"Bengaluru, Karnataka, India (On-site)"
162,popkorn,Google Ads Specialist,"New Delhi, Delhi, India (On-site)"
163,Tata Technologies,Seating Engineer,"Pune, Maharashtra, India (On-site)"
164,LIC,Insurance Advisor,"Serampore-Uttarpara, West Bengal, India (On-site)"
165,AMD,Post-Silicon Validation Lead with 12+Yrs of exp,"Bengaluru, Karnataka, India (On-site)"
166,Tata Technologies,Engineer-Door Trims,"Pune, Maharashtra, India (On-site)"
167,RK HOST SERVICES PRIVATE LIMITED,Freight Forwarder,"Noida, Uttar Pradesh, India (On-site)"
168,Zellis,Cloud Engineer,"Kochi, Kerala, India (Hybrid)"
169,Tata Consultancy Services,JDE CNC Consultant,Greater Bengaluru Area (On-site)
170,LTIMindtree,Production Support Dot Net - Pune / Mumbai / Bangalore,"Mumbai, Maharashtra, India (Hybrid)"
171,Start-Up Hyderabad,Content Writer,"Hyderabad, Telangana, India (On-site)"
172,GE Aerospace,Advanced Lead Engineer - Emerging Technologies,"Bengaluru, Karnataka, India (On-site)"
173,NI (National Instruments),Senior Software Engineer,"Bengaluru, Karnataka, India (On-site)"
174,Lenovo,Offering Manager for AI,"Bangalore Urban, Karnataka, India"
175,"M/s Praveen Lakshmi & Co, Chartered Accountants",ROC Executive,"Hyderabad, Telangana, India (On-site)"
